Team,Conformed
NORTHERN ILLINOIS UNIVERSITY,166
NORTHWESTERN KNEAZLES,179
NYDC CAPITALISTS,169
OCCIDENTAL,180
OHIO GLORY,181
OHIO STATE QUIDDITCH,182
OHIO STATE UNIVERSITY,182
OHIO UNIVERSITY,183
OHIO UNIVERSITY QUIDDITCH CLUB,183
OKLAHOMA BAPTIST UNIVERSITY,185
OKLAHOMA QUIDDITCH,184
OKLAHOMA STATE UNIVERSITY,186
OSOS DE MUERTE,187
OSU THE MIGHTY BUCKS,275
OTTAWA MAPLE RUSH,188
OXFORD UNIVERSITY,189
OXY DOXIES,190
PACIFIC PHOENIX QUIDDITCH CLUB,191
PARIS FROG QUIDDITCH,192
PARIS FROGS,192
PARIS PHENIX QUIDDITCH,193
PARIS PHÌäNIX,193
PENN QUIDDITCH,194
PENN STATE QUIDDITCH,195
PENN STATE UNIVERSITY,195
PENN STATE UNIVERSITY NITTANY LIONS,195
PENNSYLVANIA STATE UNIVERSITY,195
PERTH PHOENIXES,196
PERTHåÊ PHOENIXES,196
PHILADELPHIA FREEDOM QUIDDITCH CLUB,197
PHILADELPHIA HONEY BADGERS,198
PORTLAND AUGUREYS,199
PROVIDENCE ASHWINDERS,200
PROVO QUIDDITCH,201
PURDUE COMMUNITY,202
PURDUE INTERCOLLEGIATE QUIDDITCH ASSOCIATION,202
PURDUE INTERCOLLEGIATE QUIDDITCH CLUB,202
PURDUE UNIVERSITY,202
Q.C. BOSTON,203
Q.C. BOSTON: THE MASSACRE,203
Q.C. PITTSBURGH,206
QC CAROLINA,204
QC PITT,206
QUEEN‰ÛªS UNIVERSITY,208
QUEENS QUIDDITCH CLUB,208
QUEENS UNIVERSITY,208
QUID PRO QUO,209
QUIDDITCH AT THE UNIVERSITY OF VIRGINIA,318
QUIDDITCH CLUB AT UNIVERSITY OF TENNESSEE KNOXVILLE,267
QUIDDITCH CLUB AT VIRGINIA TECH,319
QUIDDITCH CLUB BOSTON,203
QUIDDITCH CLUB DALLAS,205
QUIDDITCH CLUB OF CENTRAL MICHIGAN,40
QUIDDITCH CLUB OF PITTSBURGH,206
QUIDDITCH CLUB OF THE CAROLINAS,204
QWERTYRIANS,207
RAIN CITY RAPTORS,213
RAPTOR QUIDDITCH AT THE UNIVERSITY OF UTAH,308
RCQC,210
READING,294
RED CEDAR RIVER MONSTERS,214
RELUCTANTLY UNAFFILIATED QUIDDITCH,215
RENNSELAER POLYTECHNIC INSTITUTE,212
RENSSELAER POLYTECHNIC INSTITUTE,212
RICE,217
RICHMOND QUIDDITCH,218
RICHMOND RAVENS,219
RINGLING COLLEGE OF ART AND DESIGN,220
RINGLING COLLEGE OF ART AND DESIGN QUIDDITCH,220
RIT DARK MARKS,211
RIVERSIDE QUIDDITCH,221
ROADRUNNER,305
ROADRUNNER QUIDDITCH,305
ROADRUNNERS,305
ROCHESTER HAILSTORM,223
ROCHESTER INSTITUTE OF TECHNOLOGY,211
ROCHESTER UNITED,224
ROCHESTER UNIVERSITY,222
ROLLINS COLLEGE,226
RPI QUIDDITCH,212
RPI REMEMBRALLS,212
RUTGERS NEARLY HEADLESS KNIGHTS,227
RUTGERS UNIVERSITY QUIDDITCH,227
RUTGERS UNIVERSITY QUIDDITCH 2015-16,227
RYERSON,228
RYERSON UNIVERSITY,228
SALISBURY UNIVERSITY QUIDDITCH CLUB,242
SAM HOUSTON STATE QUIDDITCH,236
SAM HOUSTON STATE UNIVERSITY,236
SAN JOSE STATE,238
SAN JOSE STATE UNIVERSITY,238
SAN JOSE STATE UNIVERSITY SPARTAN QUIDDITCH,238
SAN JOSE STATE UNIVERSITY SPARTANS,238
SAN MARCOS SHARKNADOS,28
SANTA BARBARA,243
SANTA BARBARA BLACKTIPS,243
SCQC,234
SHIPPENSBURG,244
SHIPPENSBURG UNIVERSITY,244
SHSU,236
SHSU QUIDDITCH,236
SILICON VALLEY SKREWTS,245
SILICON VALLEY VIPERS,246
SILVER PHOENIXES,247
SIN CITY QUID PRO QUO,248
SIR SANDFORD FLEMING COLLEGE,84
SIUE QUIDDITCH CLUB,237
SKIDMORE QUIDDITCH,249
SKREWTS,245
SKYFIGHTERS QUIDDITCH CLUB,250
SMITH,251
SOUTH BAY BLAZERS,252
SOUTH JERSEY HELLHOUNDS,254
SOUTHERN ILLINOIS,231
SOUTHERN ILLINOIS UNIVERSITY,231
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,231
SOUTHERN ILLINOIS UNIVERSITY QUIDDITCH,231
SOUTHERN MISSISSIPPI,233
SOUTHERN STORM,255
SOUTHERN UNIVERSITY OF ILLINOIS CARBONDALE,231
SOUTHWEST MERCS,141
SOUTHWEST OKLAHOMA STATE,241
SOUTHWESTERN OKLAHOMA STATE,241
SOUTHWESTERN OKLAHOMA STATE UNIVERSITY,241
SPARTAN SPITFIRES,256
SPAULDING HIGH SCHOOL,257
ST. MARY‰ÛªS,258
STANFORD QUIDDITCH,259
STANFORD UNIVERSITY,259
STANFORDåÊ UNIVERSITY,259
STEEL CITY QUIDDITCH CLUB,260
STOCKTON UNIVERSITY OSPREYS,261
STONY BROOK QUIDDITCH,262
STONY BROOK UNIVERSITY,262
SUN DEVIL QUIDDITCH,263
SUNY CORTLAND RED DRAGONS,239
SUNY GENESEO,240
SYRACUSE SNARE QUIDDITCH CLUB,264
SYRACUSE UNIVERSITY,264
SYRACUSE UNIVERSITY QUIDDITCH CLUB,264
TC FROST,283
TEAM WHICH MUST NOT BE NAMED,266
TEAM-WHO-MUST-NOT-BE-NAMED,266
TEC QUIDDITCH,265
TENNESSEE TECH QUIDDITCH,268
TENNESSEE TECHNOLOGICAL UNIVERSITY,268
TERMINUS QUIDDITCH ATLANTA,13
TEXAS A&M QUIDDITCH,270
TEXAS A&M; QUIDDITCH,270
TEXAS CAVALRY,271
TEXAS HILL COUNTRY HEAT,272
TEXAS QUIDDITCH,269
TEXAS STATE UNIVERSITY,273
TEXAS STATE UNIVERSITY - SAN MARCOS,273
TEXAS STATE UNIVERSITY-SAN MARCOS,273
TEXAS TECH QUIDDITCH,274
TEXAS TECH QUIDDITCH CLUB,274
THE CHARLES SCHOOL,53
THE FIGHTING FARMERS OF AMERICA,83
THE FIGHTING FARMERS OF ARIZONA,83
THE LONG BEACH FUNKY QUAFFLES,134
THE LOST BOYS,136
THE MOSCOW MANTICORES AT THE UNIVERSITY OF IDAHO,110
THE MUGGLE SNUGGLERS,162
THE OHIO STATE UNIVERSITY,182
THE ROGUES,225
THE SILVER PHOENIX,247
THE SOUTHERN STORM,255
THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL QUIDDITCH,164
THE UNIVERSITY OF SOUTHERN MISSISSIPPI,233
THE UNIVERSITY OF TEXAS AT AUSTIN,269
THE WARRIORS,325
THUNDERCATS QUIDDITCH,276
TOLEDO FIREBOLTS QUIDDITCH,277
TOLEDO QUIDDITCH,277
TOULOUSE,278
TRI-STATE LIGHTNING QUIDDITCH CLUB,279
TRIBE,280
TRIBE QUIDDITCH,280
TUFTS UNIVERSITY,281
TUFTS UNIVERSITY TUFFLEPUFFS,281
TULANE UNIVERSITY,282
TULANE UNIVERSITY CLUB QUIDDITCH,282
TWIN CITIES QC,283
TWIN CITIES QUIDDITCH CLUB,283
